Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Motivation_cause,Resources_used,Goal_for_investment,Duration_to_save(in_Years),Unnamed: 10,investor_type
Male,19,0,0,"Banking - RD, FD",200.0,Family member,Family members/Friends,Wealth generation,10.0,,moderate
Female,24,0,0,"Banking - RD, FD",1000.0,Social media/ Articles,Mobile applications,Wealth generation,3.0,,aggressive
Male,24,1,400000,"Stocks - Intraday, long term",5000.0,Social media/ Articles,News articles / Current affairs,Planning for finacial freedom after Retirement,10.0,,aggressive
Male,22,1,150000,Mutual Funds,2000.0,Agents/Investment brokers,News articles / Current affairs,Wealth generation,10.0,,aggressive
Male,25,1,250000,Mutual Funds,2000.0,Self Interest ,Books,Wealth generation,15.0,,moderate
Male,27,1,384000,Crypto currency,3000.0,Social media/ Articles,Social media/ Articles,Wealth generation,5.0,,aggressive
Male,24,1,150000,Not prepared ,2000.0,No one,Family members/Friends,Planning for finacial freedom after Retirement,15.0,,conservative
Female,22,0,0,Gold / Any other Materialistic investment,500.0,Family member,Family members/Friends,Personal Savings,10.0,,conservative
Female,25,0,0,"Banking - RD, FD",2000.0,Family member,Family members/Friends,Personal Savings,5.0,,conservative
Male,28,1,500000,"Stocks - Intraday, long term",5000.0,Friends,Mobile applications,Wealth generation,10.0,,aggressive
Female,35,0,0,"Banking - RD, FD",2000.0,Family member,Family members/Friends,Children's education/ Marriage,10.0,,conservative
Female,28,1,300000,Gold / Any other Materialistic investment,5000.0,Self,Family members/Friends,Regarding your / Your Siblings marriage,3.0,,conservative
Male,56,1,200000,Mutual Funds,1000.0,Through Bank,News articles / Current affairs,Planning for finacial freedom after Retirement,4.0,,moderate
Male,23,0,0,"Stocks - Intraday, long term",500.0,Friends,Mobile applications,Construction of own House / Buying a new Car,15.0,,aggressive
Female,19,0,0,"Banking - RD, FD",1000.0,Through Bank,Books,Personal Savings,10.0,,conservative
Male,31,1,200000,"Stocks - Intraday, long term",1000.0,Social media/ Articles,Mobile applications,Personal Savings,5.0,,aggressive
Male,26,0,0,"Banking - RD, FD",500.0,Self,News articles / Current affairs,Wealth generation,4.0,,moderate
Male,28,1,300000,Mutual Funds,2500.0,Through Bank,Family members/Friends,Wealth generation,8.0,,aggressive
Female,26,1,150000,"Banking - RD, FD",1500.0,Family member,Family members/Friends,Regarding your / Your Siblings marriage,3.0,,conservative
Male,23,0,0,"Banking - RD, FD",0.0,Through Bank,Books,Children's education/ Marriage,0.0,,moderate
Male,20,0,0,"Banking - RD, FD",5000.0,Through Bank,Books,Personal Savings,1.0,,moderate
Male,18,0,360000,Crypto currency,30000.0,Friends,Family members/Friends,Children's education/ Marriage,2.0,,aggressive
Male,23,1,0,"Stocks - Intraday, long term",10.0,Social media/ Articles,Books,Children's education/ Marriage,10.0,,aggressive
Male,22,0,0,"Stocks - Intraday, long term",100.0,Friends,Mobile applications,Construction of own House / Buying a new Car,10.0,,aggressive
Male,18,0,0,"Banking - RD, FD",5000.0,Through Bank,Family members/Friends,Planning for finacial freedom after Retirement,25.0,,conservative
Male,20,0,0,"Stocks - Intraday, long term",0.0,Family member,Family members/Friends,Personal Savings,2.0,,aggressive
Male,28,1,250000,"Stocks - Intraday, long term",1500.0,Friends,Mobile applications,Wealth generation,4.0,,aggressive
Male,23,0,0,"Stocks - Intraday, long term",10000.0,Friends,News articles / Current affairs,Wealth generation,5.0,,aggressive
Female,28,1,120000,Mutual Funds,1000.0,Agents/Investment brokers,Family members/Friends,Children's education/ Marriage,5.0,,moderate
Male,48,0,0,"Banking - RD, FD",1000.0,Friends,Family members/Friends,Personal Savings,5.0,,conservative
Male,23,0,0,"Stocks - Intraday, long term",20000.0,Friends,Family members/Friends,Personal Savings,2.0,,aggressive
Female,23,0,0,Marketing ,5000.0,Friends,Family members/Friends,Planning for finacial freedom after Retirement,2.0,,moderate
Female,23,1,150000,Gold / Any other Materialistic investment,2000.0,Family member,Family members/Friends,Regarding your / Your Siblings marriage,4.0,,moderate
Female,26,1,300000,Mutual Funds,2000.0,Agents/Investment brokers,Mobile applications,Wealth generation,10.0,,aggressive
Female,24,1,200000,"Real estate, Bonds",3000.0,Family member,Family members/Friends,Construction of own House / Buying a new Car,10.0,,aggressive
Male,20,0,0,"Banking - RD, FD",2000.0,Family member,Family members/Friends,Personal Savings,6.0,,conservative
