age,annual_income,net_worth,savings_rate,debt_ratio,employment_years,investment_experience_years,time_horizon_years,emergency_fund_months,employment_status,primary_goal,liquidity_need,resources_used,q1,q2,q3,q4,q5,risk_tolerance,risk_capacity,combined_score,investor_type,stocks_target,bonds_target,cash_target,alts_target,curr_stock,curr_bonds,curr_cash,curr_alts
30,4199,10213,0.091,0.291,11,3,17,1,employee,retirement,medium,advisor,1,2,3,4,4,0.51,0.28,0.502,moderate,0.625,0.25,0.083,0.042,0.592,0.294,0.07,0.043
27,4402,15414,0.135,0.519,8,14,12,2,self-employed,home_purchase,medium,online,2,4,3,3,3,0.6,0.176,0.44,moderate,0.605,0.263,0.088,0.044,0.59,0.261,0.124,0.026
31,4776,20234,0.088,0.092,9,1,10,3,employee,retirement,low,friends,4,2,3,2,3,0.57,0.352,0.492,moderate,0.591,0.273,0.091,0.045,0.606,0.278,0.067,0.05
35,5011,22628,0.294,0.103,16,8,4,4,employee,wealth_generation,low,online,4,4,2,3,4,0.69,0.333,0.491,moderate,0.541,0.306,0.102,0.051,0.53,0.288,0.115,0.066
26,6106,22807,0.077,0.336,10,8,16,2,employee,retirement,high,advisor,3,3,3,4,3,0.63,0.279,0.511,moderate,0.625,0.25,0.083,0.042,0.646,0.286,0.052,0.015
26,6176,23539,0.26,0.321,2,1,4,2,retired,wealth_generation,high,online,2,4,2,4,2,0.56,0.231,0.46,moderate,0.541,0.306,0.102,0.051,0.54,0.277,0.089,0.094
35,6462,26974,0.139,0.165,18,10,6,5,employee,retirement,low,books,4,3,3,4,4,0.71,0.327,0.567,moderate,0.559,0.294,0.098,0.049,0.573,0.291,0.072,0.064
31,6805,28738,0.129,0.388,11,6,4,1,self-employed,retirement,medium,friends,3,5,4,2,1,0.65,0.225,0.484,moderate,0.541,0.306,0.102,0.051,0.543,0.283,0.131,0.043
25,7152,30137,0.097,0.107,6,10,1,4,employee,wealth_generation,low,books,3,4,4,5,2,0.72,0.34,0.572,moderate,0.511,0.326,0.109,0.054,0.497,0.317,0.088,0.097
30,7195,32146,0.18,0.471,7,12,14,6,retired,retirement,medium,advisor,3,3,3,4,5,0.69,0.204,0.469,moderate,0.619,0.254,0.085,0.042,0.641,0.261,0.013,0.085
25,7370,33985,0.191,0.144,4,4,7,2,employee,home_purchase,low,books,5,5,4,3,3,0.84,0.346,0.622,moderate,0.567,0.288,0.096,0.048,0.578,0.281,0.09,0.051
25,7574,35822,0.147,0.078,3,6,5,1,employee,wealth_generation,medium,online,4,3,2,3,4,0.64,0.369,0.525,moderate,0.55,0.3,0.1,0.05,0.53,0.313,0.109,0.048
29,7645,40153,0.04,0.201,12,4,8,7,employee,retirement,low,online,3,3,3,2,3,0.57,0.329,0.507,moderate,0.575,0.283,0.094,0.047,0.57,0.259,0.107,0.064
18,7777,40276,0.263,0.138,0,3,11,2,retired,retirement,medium,advisor,3,2,2,3,4,0.54,0.33,0.464,moderate,0.598,0.268,0.089,0.045,0.602,0.247,0.118,0.033
19,7898,42778,0.316,0.269,0,0,11,2,retired,retirement,medium,online,4,2,5,3,2,0.65,0.281,0.48,moderate,0.598,0.268,0.089,0.045,0.564,0.24,0.105,0.092
25,8023,42950,0.14,0.329,8,16,9,3,retired,retirement,medium,books,3,1,1,5,2,0.45,0.254,0.352,moderate,0.583,0.278,0.093,0.046,0.616,0.222,0.09,0.071
22,8050,43286,0.176,0.256,3,6,11,2,employee,wealth_generation,low,online,4,3,3,3,1,0.59,0.317,0.416,moderate,0.598,0.268,0.089,0.045,0.572,0.327,0.036,0.065
29,8168,43941,0.143,0.319,5,0,10,8,unemployed,retirement,low,advisor,4,3,2,3,2,0.58,0.247,0.46,moderate,0.591,0.273,0.091,0.045,0.597,0.287,0.096,0.02
23,8191,45876,0.118,0.21,0,0,18,1,employee,retirement,medium,online,3,3,4,3,2,0.61,0.356,0.502,moderate,0.625,0.25,0.083,0.042,0.636,0.241,0.1,0.022
20,8210,46205,0.05,0.033,4,4,2,3,employee,retirement,medium,friends,3,3,1,3,2,0.49,0.384,0.453,moderate,0.521,0.319,0.106,0.053,0.502,0.328,0.083,0.086
35,8341,48018,0.145,0.545,12,0,20,3,employee,wealth_generation,low,books,3,2,2,4,4,0.57,0.209,0.517,moderate,0.625,0.25,0.083,0.042,0.591,0.289,0.073,0.047
26,8446,48530,0.224,0.392,2,5,7,3,retired,wealth_generation,low,advisor,3,3,4,3,2,0.61,0.229,0.444,moderate,0.567,0.288,0.096,0.048,0.53,0.273,0.107,0.091
28,8604,52870,0.016,0.072,5,1,16,3,student,retirement,low,books,3,4,4,3,4,0.72,0.37,0.586,moderate,0.625,0.25,0.083,0.042,0.653,0.267,0.05,0.03
20,8915,54261,0.169,0.241,4,1,10,8,employee,home_purchase,medium,none,3,4,4,2,4,0.69,0.327,0.526,moderate,0.591,0.273,0.091,0.045,0.61,0.249,0.091,0.05
25,9022,55162,0.246,0.309,2,9,8,5,employee,wealth_generation,high,advisor,5,4,4,2,2,0.73,0.293,0.55,moderate,0.575,0.283,0.094,0.047,0.614,0.271,0.046,0.069
28,9070,58085,0.094,0.139,8,14,13,2,employee,wealth_generation,medium,books,3,3,2,3,4,0.59,0.381,0.477,moderate,0.612,0.259,0.086,0.043,0.616,0.313,0.07,0.002
22,9073,58461,0.085,0.287,0,5,17,3,retired,retirement,medium,online,2,3,3,3,3,0.55,0.296,0.416,moderate,0.625,0.25,0.083,0.042,0.616,0.258,0.098,0.029
29,9077,59069,0.212,0.271,5,12,10,0,employee,wealth_generation,low,online,3,3,4,4,5,0.73,0.315,0.51,moderate,0.591,0.273,0.091,0.045,0.625,0.286,0.077,0.013
24,9136,60069,0.103,0.147,3,0,11,3,retired,wealth_generation,medium,friends,3,3,3,4,3,0.63,0.338,0.481,moderate,0.598,0.268,0.089,0.045,0.584,0.264,0.109,0.043
26,9148,60082,0.087,0.114,8,11,3,1,employee,retirement,medium,online,3,5,2,3,3,0.66,0.363,0.548,moderate,0.531,0.312,0.104,0.052,0.528,0.336,0.104,0.032
24,9218,60501,0.129,0.361,2,1,22,4,retired,retirement,low,none,3,2,2,3,3,0.51,0.277,0.408,moderate,0.625,0.25,0.083,0.042,0.59,0.251,0.075,0.085
37,9243,61103,0.132,0.194,19,12,19,2,self-employed,retirement,low,books,4,1,2,4,4,0.57,0.358,0.479,moderate,0.625,0.25,0.083,0.042,0.662,0.266,0.072,0.0
27,9245,62286,0.243,0.163,5,13,10,4,employee,retirement,low,books,2,4,3,4,2,0.6,0.363,0.492,moderate,0.591,0.273,0.091,0.045,0.569,0.307,0.065,0.059
22,9486,64181,0.177,0.351,0,11,17,2,employee,wealth_generation,low,none,2,3,3,3,3,0.55,0.298,0.454,moderate,0.625,0.25,0.083,0.042,0.611,0.25,0.07,0.068
32,9514,64219,0.135,0.351,12,11,8,6,retired,wealth_generation,medium,none,5,1,2,3,3,0.56,0.253,0.44,moderate,0.575,0.283,0.094,0.047,0.596,0.232,0.133,0.039
21,9681,64247,0.16,0.176,1,7,16,3,employee,wealth_generation,low,advisor,4,4,4,3,1,0.68,0.376,0.559,moderate,0.625,0.25,0.083,0.042,0.596,0.262,0.06,0.082
29,9722,64704,0.286,0.425,10,4,12,5,employee,retirement,low,online,1,4,4,4,2,0.59,0.255,0.446,moderate,0.605,0.263,0.088,0.044,0.633,0.266,0.086,0.015
18,9748,66771,0.064,0.33,0,8,11,4,employee,wealth_generation,high,advisor,3,3,2,3,5,0.62,0.295,0.512,moderate,0.598,0.268,0.089,0.045,0.568,0.306,0.078,0.048
21,9780,68767,0.091,0.203,0,6,3,7,employee,wealth_generation,low,online,3,4,2,1,4,0.58,0.33,0.42,moderate,0.531,0.312,0.104,0.052,0.514,0.322,0.14,0.024
28,9782,69197,0.294,0.233,7,0,25,4,self-employed,wealth_generation,low,online,3,4,4,3,4,0.72,0.36,0.553,moderate,0.625,0.25,0.083,0.042,0.641,0.243,0.084,0.032
31,9785,72943,0.289,0.346,10,6,19,4,student,retirement,low,books,2,2,4,1,3,0.48,0.274,0.374,moderate,0.625,0.25,0.083,0.042,0.572,0.267,0.093,0.067
28,9804,72972,0.083,0.148,11,9,17,2,retired,education,medium,advisor,4,4,3,4,2,0.7,0.36,0.583,moderate,0.625,0.25,0.083,0.042,0.612,0.242,0.088,0.058
27,9813,73509,0.074,0.248,8,0,8,3,employee,retirement,low,books,2,3,3,2,5,0.58,0.325,0.462,moderate,0.575,0.283,0.094,0.047,0.554,0.318,0.07,0.058
26,9816,75303,0.138,0.316,6,8,8,2,employee,education,low,books,1,3,3,1,4,0.47,0.296,0.371,moderate,0.575,0.283,0.094,0.047,0.602,0.276,0.094,0.028
20,9876,76081,0.037,0.273,0,9,13,0,self-employed,retirement,low,books,2,3,3,2,2,0.49,0.313,0.424,moderate,0.612,0.259,0.086,0.043,0.613,0.216,0.135,0.035
24,9890,76162,0.184,0.299,6,2,19,4,self-employed,wealth_generation,low,books,5,3,1,3,3,0.62,0.316,0.522,moderate,0.625,0.25,0.083,0.042,0.664,0.218,0.08,0.038
25,9947,76701,0.05,0.276,5,6,23,2,employee,wealth_generation,low,books,3,1,3,2,3,0.47,0.351,0.445,moderate,0.625,0.25,0.083,0.042,0.603,0.232,0.162,0.003
33,9969,78258,0.041,0.143,13,16,7,3,retired,wealth_generation,low,advisor,4,3,4,5,2,0.72,0.335,0.594,moderate,0.567,0.288,0.096,0.048,0.597,0.307,0.057,0.039
29,10009,80129,0.15,0.227,12,13,13,2,self-employed,wealth_generation,low,books,3,4,3,1,3,0.59,0.334,0.491,moderate,0.612,0.259,0.086,0.043,0.614,0.218,0.132,0.036
